Record ID,University,Institution Type,Russell Group,UK Nation,Category,Document Title,Document Type,Intended_Audience,URL,File Format,Retrieval Date,Status,Source_Type,Last_Updated,Notes,AI_Characterisation,Aim_Prevention,Aim_Encouragement,Uses_Allowed,Uses_Disallowed,Technologies_Mentioned,Coding_Mentioned,Overall_Tone,Key_Takeaways,Missing_Topics,Unclear_Areas,Suggested_Additions,Suggested_Reductions,Coding_Recommendations
RG032,King's College London,University,Yes,England,Teaching,Guidance for AI-assisted Marking and Feedback,Guidance,Staff,https://www.kcl.ac.uk/about/strategy/learning-and-teaching/ai-guidance/ai-assisted-marking-and-feedback,HTML,2026-07-13,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Privacy; Data Protection; Overreliance,Responsible Use of AI; Transparency; Professional Development,Feedback drafting; Rubric development; Feedback summarisation; Feedback clarification; Speech-to-text transcription,Uploading student work without consent; Automated grading without human oversight; Using AI to detect AI use,Generative AI; LLMs; Microsoft Copilot; ChatGPT; Claude; Gemini,FALSE,Balanced,"This guidance provides a practical framework for integrating generative AI into marking and feedback while maintaining human judgement, transparency and student trust. Rather than automating assessment, it positions AI as an assistive technology that can improve feedback quality, efficiency and accessibility without replacing academic decision-making.","The guidance concentrates on feedback workflows and does not discuss AI-assisted programming, discipline-specific assessment practices, research supervision or student use of AI beyond implications for feedback.","While the document recommends institutionally approved AI tools, it provides limited practical guidance on how staff should evaluate newly emerging tools or determine when AI-assisted feedback may become excessively influential in assessment decisions.","Include guidance for programming assignments, laboratory assessments, quantitative coursework and project-based learning. Additional examples covering collaborative marking, peer assessment and discipline-specific feedback practices would broaden applicability.","The repeated discussion of trust and transparency could be consolidated slightly, allowing more space for practical implementation examples across different assessment contexts.","Future versions should include explicit guidance on AI-assisted marking of programming assignments, including the evaluation of AI-generated code, acceptable use of coding assistants during assessment and principles for reviewing computational work while maintaining academic judgement."
RG033,University of Leeds,University,Yes,England,Generic,Generative AI – Institutional Guidance Hub & Introduction,Guidance Hub,All,https://generative-ai.leeds.ac.uk/；https://generative-ai.leeds.ac.uk/intro-gen-ai/,HTML,2026-06-29,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Privacy; Bias; Intellectual Property; Overreliance,Responsible Use of AI; AI Literacy; Critical Thinking,Learning support; Teaching support; Research support; Administrative support,/,Generative AI; LLMs; ChatGPT; Microsoft Copilot,FALSE,Balanced,"This record functions as the institutional entry point for the University’s AI governance ecosystem. Rather than prescribing specific rules, it introduces the University’s overall approach to generative AI, outlines its governance structure and directs users to dedicated guidance for teaching, assessment, research and student learning. A distinctive feature is the explicit integration of institutional governance (AI Steering Group and working groups) with practical guidance resources.","The hub intentionally avoids operational guidance. It does not specify acceptable or prohibited AI use, assessment requirements, acknowledgement practices or discipline-specific expectations, instead referring users to dedicated guidance documents.","Although the hub outlines the University’s governance structure and guiding principles, it provides limited explanation of how these principles should be implemented across different faculties or disciplines. Users must consult the linked guidance documents for operational expectations.",Include a concise institutional summary outlining the University’s core expectations for responsible AI use before directing users to the specialised guidance. This would help users understand the overall institutional position without navigating multiple pages.,"The introductory explanation of generative AI concepts could be streamlined slightly, allowing greater prominence to institutional principles and governance arrangements.","Although programming is not discussed at this level, future versions of the institutional hub could include a navigation section directing users to discipline-specific guidance on AI-assisted programming, computational research and software development where appropriate."
RG034,University of Leeds,University,Yes,England,Teaching,AI and assessments,Guidance,Students,https://generative-ai.leeds.ac.uk/ai-and-assessments/,HTML,2026-06-29,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Plagiarism; Privacy; Bias; Overreliance,Responsible Use of AI; AI Literacy; Critical Thinking; Transparency,Learning support; Grammar checking; Spelling checking; Proofreading,Generating or falsifying assessed work; Copying AI-generated content without acknowledgement; Uploadting Personally Identifiable Information (PII); Rewriting substantive assessment content in Red-category assessments,Generative AI; Microsoft Copilot,FALSE,Balanced,"This guidance establishes a comprehensive assessment governance framework centred on the University’s three-tier traffic light system (Red, Amber and Green). Rather than treating AI as universally permitted or prohibited, it links acceptable AI use to the intended learning outcomes of individual assessments. A distinctive feature is the integration of assessment categories, mandatory acknowledgement guidance and a practical pre-submission checklist into a single institutional framework.","While the framework provides clear expectations for taught assessments, it offers limited discussion of discipline-specific implementation, programming assessments, collaborative coursework or AI-assisted quantitative analysis. Guidance for practical laboratory work and computational assignments could be expanded.","Although the Red–Amber–Green categories provide a flexible framework, the precise boundaries between categories depend on individual assessment briefs. Students may therefore encounter variation across modules, particularly where local guidance provides limited examples.","Include worked examples illustrating appropriate AI use across essays, programming assignments, laboratory reports, design projects and quantitative coursework. Additional examples showing acceptable AI use under each traffic-light category would improve consistency across disciplines.",The four linked pages occasionally repeat messages relating to academic integrity and acknowledgement. Some overlap could be reduced through greater cross-referencing while preserving the modular structure of the guidance.,"Future versions should introduce explicit assessment guidance for AI-assisted programming, including expectations for code generation, debugging support, documentation of AI assistance and appropriate acknowledgement of AI-supported software development within assessed coursework."
RG035,University of Leeds,University,Yes,England,Teaching,AI for Educators,Guidance,Staff,https://generative-ai.leeds.ac.uk/ai-for-student-education/,HTML,2026-07-13,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Privacy; Overreliance,Responsible Use of AI; AI Literacy; Critical Thinking; Transparency,Assessment design; Feedback support; Brainstorming;  Formative learning; Critical evaluation,Using AI detection tools; Using AI contrary to assessment category; AI activities that breach University regulations,Generative AI; ChatGPT,FALSE,Balanced,"This guidance focuses on helping educators implement generative AI within teaching and assessment rather than establishing new institutional policy. Its distinctive contribution is the combination of operational resources—including the Red/Amber/Green assessment framework, standardised AI statements for modules and practical case studies—to support consistent implementation across programmes. Compared with many university AI policies, Leeds places greater emphasis on translating institutional principles into day-to-day educational practice.","While the guidance provides extensive support for assessment design and classroom practice, it gives little attention to AI-assisted programming, laboratory teaching, quantitative coursework or discipline-specific implementation in computational subjects. Guidance for AI-supported marking is also relatively limited compared with assessment design.","The guidance encourages educators to adapt the standard AI statements and RAG categories to individual modules, but it provides limited advice on resolving cases where interdisciplinary assessments or complex learning outcomes do not fit neatly within a single category.","Include additional case studies from STEM disciplines, particularly programming, engineering design, laboratory teaching and data science. Practical examples showing how AI-assisted coding activities can be incorporated into Red, Amber and Green assessments would strengthen the guidance.","Some operational instructions (for example, repeated explanations of the Red/Amber/Green categories) are duplicated across multiple pages and could be consolidated through cross-referencing while retaining the current modular structure.","Future guidance should explicitly address AI-assisted programming in teaching by providing recommendations on assessment design, acceptable use of coding assistants, documentation of AI-generated code and approaches to evaluating programming assignments supported by generative AI."
RG036,University of Leeds,University,Yes,England,Research,AI for Researchers,Guidance,Researchers,https://generative-ai.leeds.ac.uk/ai-use-in-research/,HTML,2026-07-13,Available,Official,,,Tool; Transformative Technology,Research Integrity; Privacy; Data Protection; Intellectual Property; Copyright; Bias; Overreliance,Responsible Use of AI; Transparency; Critical Thinking,Research support; Proofreading; Idea development,Inputting confidential or personal data; Uploading University intellectual property; Using copyrighted material without permission; Publishing unvalidated AI outputs,Generative AI; ChatGPT; Microsoft Copilot,FALSE,Balanced,"This guidance establishes a comprehensive research governance framework for generative AI. Rather than focusing on individual research tasks, it integrates AI use with research integrity, ethics review, data governance, intellectual property, funder requirements and publication practices. A particularly distinctive feature is its emphasis on documenting AI use, validating AI outputs and ensuring compliance with institutional and external governance frameworks throughout the research lifecycle.","Although the guidance provides extensive governance requirements, it offers relatively little practical advice on AI-assisted data analysis, statistical modelling, systematic literature reviews or computational research workflows. Guidance for AI-supported programming and software development is also absent.","The guidance explains that governance requirements may evolve as AI develops and notes that some AI research may require future ethics review. However, it provides limited examples of the types of research that would trigger enhanced ethical scrutiny, leaving considerable room for interpretation by individual researchers and faculties.","Include practical examples covering AI-assisted qualitative coding, statistical programming, computational modelling, systematic reviews and software development. Additional workflows illustrating compliant documentation of AI-supported research would improve implementation across disciplines.","The discussion of ethics, integrity and governance is repeated across several linked pages. Greater cross-referencing could reduce duplication while preserving the modular structure of the guidance.","Future guidance should explicitly address AI-assisted programming within research, including recommendations on code generation, debugging, validation of AI-generated code, documentation of AI-supported computational workflows and reproducible research practices."
RG037,University of Leeds,University,Yes,England,Teaching,Generative AI Guidance for Taught Students,Guidance,Students,https://generative-ai.leeds.ac.uk/wp-content/uploads/sites/134/2023/12/UoL-GenAI-guidance-for-taught-students.pdf,PDF,2026-06-29,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Plagiarism; Privacy; Data Protection; Overreliance,Responsible Use of AI; AI Literacy; Critical Thinking; Transparency,Learning support; Brainstorming; Translation; Data analysis; Research support; Proofreading; Code debugging; Code development; Image generation,Generating or falsifying assessed work; Using AI in Red-category assessments; Entering sensitive or personal data; Failing to acknowledge AI use,Generative AI; Microsoft Copilot; ChatGPT; LLMs,"True, Guidance Provided",Balanced,"This guidance provides the University’s formal policy for taught students using generative AI. Building on the institutional Red–Amber–Green assessment framework, it combines assessment rules, mandatory AI literacy training, acknowledgement requirements and practical examples of acceptable AI use into a single operational policy. Compared with the earlier web guidance, this document establishes clearer institutional expectations and governance arrangements for student use of generative AI.","Although the guidance provides extensive assessment-related advice, it contains relatively little guidance on collaborative AI use, discipline-specific implementation, research projects or responsible AI use beyond coursework. Practical examples for laboratory work and advanced computational projects could also be expanded.","While the Red–Amber–Green framework provides a flexible structure, students remain dependent on individual assessment briefs to determine the applicable category. More worked examples illustrating borderline cases between Amber and Green assessments would improve consistency across programmes.","Include additional examples covering programming assignments, data science projects, collaborative coursework, software engineering and AI-assisted quantitative analysis. More examples illustrating acceptable acknowledgement practices across different assignment types would also strengthen implementation.",Some explanations of the traffic-light framework and acknowledgement requirements repeat material already presented elsewhere in the document. Greater cross-referencing could improve readability without reducing clarity.,"Future versions should provide more detailed guidance on AI-assisted software development by explaining expectations for AI-generated code, debugging support, documentation of AI assistance and appropriate acknowledgement within programming-related assessments."
RG038,University of Leeds,University,Yes,England,Research,Generative AI guidance for postgraduate researchers,Guidance,Researchers,https://generative-ai.leeds.ac.uk/wp-content/uploads/sites/134/2024/08/UoL-GenAI-guidance-for-postgraduate-researchers.pdf,PDF,2026-06-29,Available,Official,,,Tool; Transformative Technology,Research Integrity; Academic Integrity; Plagiarism; Privacy; Data Protection; Intellectual Property; Copyright; Bias; Overreliance,Responsible Use of AI; Transparency; Critical Thinking; AI Literacy,Research support; Literature review; Data analysis; Brainstorming; Translation; Code debugging; Code development; Proofreading; Reference management; Project planning; Image generation,Generating thesis text; Rewriting student writing; Paraphrasing source material; Translating work for submission; Using AI during viva; Entering sensitive or personal dat,Generative AI; Microsoft Copilot; ChatGPT; Claude; Gemini; HuggingChat; Llama; DALL·E; Midjourney; Runway; ChatPDF; Elicit,"True, Guidance Provided",Balanced,"This guidance provides one of the most comprehensive AI governance frameworks for postgraduate research in the dataset. It integrates research integrity, originality, supervision, ethics review, data governance, publication practices and assessment into a unified framework. A distinctive feature is that AI use is positioned as a supervised component of the research process, with explicit expectations for documentation, transparency and discussion between researchers and supervisors throughout the doctoral journey.","Although the document provides extensive governance guidance, it offers relatively little practical advice on AI-assisted quantitative analysis, reproducible computational workflows, collaborative software development or discipline-specific implementation across different research fields.","The traffic-light framework provides flexibility but relies heavily on supervisory judgement. The boundary between Green and Amber categories may vary across disciplines, particularly for interdisciplinary AI research, creating potential inconsistencies in implementation.","Future versions could include discipline-specific case studies, examples of AI-supported computational research, reproducible coding workflows, responsible AI-assisted statistical analysis and additional guidance for interdisciplinary AI research projects.","The introductory chapters explaining AI concepts, strengths and weaknesses occupy a substantial proportion of the document and duplicate information already available in institutional training resources. These sections could be shortened and replaced with links to supporting materials.","Future guidance should further distinguish different levels of AI-assisted programming by clarifying expectations for code generation, debugging, algorithm design, software ownership, reproducibility and acknowledgement of AI-supported computational workflows."
RG039,University of Leeds,University,Yes,England,Generic,Guidance to Staff on the use of Artificial Intelligence,Guidance,Staff,https://secretariat.leeds.ac.uk/policies-procedures-and-codes-of-practice/guidance-to-staff-on-the-use-of-artificial-intelligence/,HTML,2026-06-29,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Privacy; Data Protection; Intellectual Property; Copyright; Research Integrity; Bias; Overreliance,Responsible Use of AI; Transparency,Teaching support; Research support; Administrative support,Entering sensitive or personal data; Uploadting University intellectual property; Uploading copyrighted material without permission; Using AI detection tools,Artificial Intelligence,FALSE,Cautious,"This document serves as the University’s overarching AI governance guidance for staff. Rather than providing operational advice for specific activities, it establishes institution-wide principles governing teaching, research and administrative use of AI. Its distinctive contribution lies in defining staff responsibilities, data governance requirements, transparency expectations and ethical obligations that apply across all professional contexts.","The guidance intentionally remains high level and therefore provides little practical advice on discipline-specific AI use, assessment design, AI-assisted research workflows or programming support. Users are expected to consult dedicated teaching, research and postgraduate guidance for operational detail.","Although the document outlines institutional responsibilities, it provides limited explanation of how staff should implement these principles within different disciplinary contexts. The relationship between this overarching guidance and the more detailed teaching and research guidance relies primarily on cross-referencing rather than integrated examples.","Include practical examples illustrating compliant AI use across administrative work, teaching, research and software development. Additional examples showing appropriate declaration practices and responsible AI-supported workflows would help staff translate institutional principles into everyday practice.",The guidance repeats several principles that are explored in much greater detail within the University’s dedicated teaching and research guidance. Greater use of cross-references could reduce duplication while maintaining its role as the University’s overarching governance document.,"Future versions could include explicit guidance on AI-assisted programming, software development, automated administrative workflows and responsible use of coding assistants, ensuring that institution-wide governance principles extend consistently to computational work."
RG040,University of Liverpool,University,Yes,England,Generic,"University of Liverpool strategy, policies and guidance on AI",Guidance Hub,All,https://www.liverpool.ac.uk/about/the-university/reports-policies-and-governance/ai-at-liverpool/policies-and-guidance/,HTML,2026-06-29,Available,Official,,,Tool; Transformative Technology,/,Responsible Use of AI,Learning support; Teaching support; Research support; Administrative support,/,Generative AI,FALSE,Balanced,"This page functions as the institutional entry point for the University’s AI governance framework. Rather than providing operational guidance, it introduces the University’s overall approach to generative AI, emphasises responsible exploration across education, research and administration, and directs users to dedicated guidance on institutional vision, governance principles, legal considerations, teaching and research. It establishes the structure of the University’s AI governance ecosystem rather than prescribing specific rules.","The page intentionally avoids operational guidance. It does not discuss acceptable or prohibited AI uses, assessment rules, research governance, acknowledgement practices or legal responsibilities, instead directing users to specialised guidance documents covering each area.","While the page explains that AI should be explored within an institutional framework, it does not summarise the University’s core principles or governance expectations. Users must navigate to the linked guidance pages to understand practical requirements and policy details.[@[Suggested_Reductions]]",Include a concise summary of the University’s overarching AI principles and governance expectations on the landing page before directing users to the individual guidance documents. This would help readers quickly understand the institutional position without visiting multiple pages.,The navigation content occupies much of the page. A shorter navigation section combined with a more prominent overview of institutional AI governance could improve readability.,"Future versions could include a brief summary of institutional expectations for responsible AI use, including links to guidance on AI-assisted programming, research workflows and discipline-specific applications to help users navigate the governance framework more efficiently."
RG041,University of Liverpool,University,Yes,England,Generic,"Vision, Recommendations and Action Plan for AI in Education",Strategy / Vision,All,https://www.liverpool.ac.uk/about/the-university/reports-policies-and-governance/ai-at-liverpool/policies-and-guidance/vision-and-recommendations/,HTML,2026-07-13,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Privacy; Data Protection; Responsible Governance,Responsible Use of AI; AI Literacy; Critical Thinking; Employability,Learning support; Teaching support; Assessment support; Research support; Professional development,/,Artificial Intelligence; Generative AI,FALSE,Supportive,"This document establishes the University’s strategic vision for AI in education rather than operational guidance. It positions AI as a catalyst for curriculum transformation, graduate employability and institutional innovation, supported by a coordinated action plan with measurable objectives. A distinctive feature is its emphasis on embedding AI literacy, staff capability, secure infrastructure and employability into long-term institutional strategy rather than treating AI as a standalone educational technology. ","As a strategic document, the guidance intentionally provides little operational detail regarding acceptable AI use, assessment rules, acknowledgement requirements or research governance. These topics are expected to be addressed through the University’s dedicated teaching, research and governance guidance.","Although the document sets ambitious institutional priorities, it provides limited explanation of how faculties should adapt these recommendations within different disciplinary contexts. Much of the implementation detail is delegated to the accompanying action plan and future institutional guidance.","Include a roadmap illustrating how the strategic priorities connect with the University’s teaching, research and governance guidance. Additional examples demonstrating implementation across different disciplines would strengthen institutional consistency.",The strategic recommendations and the detailed action plan contain some overlap. Future versions could streamline the vision document by presenting high-level priorities while reserving implementation details for the action plan.,"Future versions could incorporate explicit strategic objectives relating to AI-assisted programming, computational literacy and responsible software development, reflecting the growing importance of AI-supported coding across higher education disciplines."
RG042,University of Liverpool,University,Yes,England,Generic,Golden Rules for Responsible AI Use,Guidance,All,https://www.liverpool.ac.uk/about/the-university/reports-policies-and-governance/ai-at-liverpool/policies-and-guidance/golden-rules/; https://www.liverpool.ac.uk/about/the-university/reports-policies-and-governance/ai-at-liverpool/policies-and-guidance/legal-security-and-data-protection/,HTML,2026-07-13,Available,Official,,,Tool,Academic Integrity; Privacy; Data Protection; Intellectual Property; Copyright; Overreliance,Responsible Use of AI; Transparency,Learning support; Teaching support; Research support; Administrative support,Uploading University-owned content; Uploading paywalled content; Uploading personal data without safeguards; Using non-enterprise AI tools for sensitive information,Generative AI; Microsoft Copilot,FALSE,Cautious,"This guidance establishes a concise set of institutional principles for responsible AI use across teaching, research and administrative contexts. Rather than providing detailed procedural rules, it distils the University’s expectations into a small number of practical “Golden Rules” covering appropriate AI use, transparency, data protection, copyright, verification and professional responsibility. Compared with many university AI policies, its strength lies in communicating governance expectations through clear, memorable principles that are applicable across the institution.","The guidance intentionally focuses on high-level principles and therefore does not discuss assessment design, research workflows, discipline-specific implementation, AI-assisted programming or detailed acknowledgement practices. These operational issues are addressed through separate teaching and research guidance.","While the Golden Rules clearly describe expected behaviours, they provide limited explanation of how these principles should be applied in complex or discipline-specific situations. Users are expected to consult the University’s detailed teaching, research and legal guidance where appropriate.","Include short practical examples illustrating how each Golden Rule applies to common teaching, research and administrative scenarios. Additional examples relating to AI-assisted programming, software development and computational research would broaden applicability.","The links to additional guidance are appropriate, but some principles (for example, verification and responsibility) could be consolidated with the supporting legal guidance to reduce conceptual overlap.","Future versions could introduce explicit guidance covering AI-assisted coding, software development and computational workflows while preserving the existing principle-based structure. This would ensure that the Golden Rules remain applicable across rapidly evolving digital practices."
RG043,University of Liverpool,University,Yes,England,Teaching,"University Guidance on the Use of Generative Artificial Intelligence (GenAI) in Learning, Teaching and Assessment",Guidance,Students,https://www.liverpool.ac.uk/media/livacuk/centre-for-innovation-in-education/digital-education/generative-ai-teach-learn-assess/guidance-on-the-use-of-gen-ai-learn-teach-assess.pdf,PDF,2026-07-13,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Plagiarism; Privacy; Data Protection; Intellectual Property; Copyright; Bias; Overreliance,Responsible Use of AI; AI Literacy; Critical Thinking; Transparency,Learning support; Teaching support; Brainstorming; Lesson planning; Assessment design; Feedback refinement; Image generation; Multimedia generation,Generating assessed work; Paraphrasing others’ work; False authorship; AI-powered translation causing false authorship; Uploading personal data; Uploading others’ work without permission,Generative AI; Microsoft Copilot; ChatGPT; Gemini; Claude; Grammarly,FALSE,Balanced,"This document provides the University’s comprehensive teaching guidance for the responsible use of generative AI by both students and staff. Unlike many institutional policies that focus primarily on academic integrity, Liverpool combines pedagogical opportunities with detailed governance requirements, covering AI literacy, transparency, assessment integrity, data protection, intellectual property, sustainability and inclusivity within a single framework. A particularly distinctive feature is the integration of ethical, environmental and cultural considerations into mainstream AI guidance. ","Although the document provides extensive guidance for teaching and assessment, it contains relatively little discussion of AI-assisted programming, software development, discipline-specific implementation or collaborative AI-supported learning activities. Guidance for computational disciplines could be further expanded.","The document encourages local schools and departments to determine assessment-specific expectations and declaration requirements, meaning that practical implementation may vary across disciplines. Additional examples illustrating how these principles apply in different subject areas would improve consistency. ","Include discipline-specific examples for laboratory work, software development, data science, collaborative coursework and AI-assisted coding. More worked examples demonstrating appropriate AI acknowledgement across different assessment types would further strengthen implementation.","Some discussions of AI literacy, ethics and responsible use overlap with the University’s separate Vision and Golden Rules documents. Greater cross-referencing could reduce duplication while maintaining the document’s comprehensive nature.","Future guidance should introduce explicit recommendations for AI-assisted programming, including code generation, debugging, software documentation and acknowledgement of AI-supported computational work, ensuring consistency across computational disciplines."
RG044,University of Liverpool,University,Yes,England,Research,University Guidance on Generative Artificial Intelligence for Research,Guidance,Researchers,https://www.liverpool.ac.uk/about/the-university/reports-policies-and-governance/ai-at-liverpool/policies-and-guidance/guidance-for-research/,HTML,2026-07-13,Available,Official,,,Tool,Research Integrity; Plagiarism; Privacy; Data Protection; Confidentiality; Intellectual Property; Copyright; Bias; Transparency; Overreliance,Responsible Use of AI; Transparency; Critical Thinking,Research support,Generating grant text without review; Fabricating references or research data; Uploading confidential or participant data; Unvalidated statistical analysis; Unreviewed AI-generated code; Generating peer review reports; Paraphrasing to evade plagiarism detection; AI-generated manuscripts without intellectual contribution; Fabricating REF/KEF evidence,Generative AI; Artificial Intelligence,"True, Guidance Provided",Restrictive,"This guidance adopts a research governance perspective by identifying inappropriate uses of generative AI throughout the research lifecycle. Rather than providing extensive advice on how researchers should use AI, it focuses on behaviours that may compromise research integrity, legal compliance, transparency and public trust. A particularly distinctive feature is its organisation around successive stages of the research lifecycle, including grant development, data collection, publication and REF/KEF preparation, illustrating how AI-related risks vary across different research activities.","The guidance provides relatively little practical advice on appropriate AI-supported research practices, such as literature reviews, qualitative analysis, computational research, systematic reviews or responsible AI-assisted coding. Researchers are instead directed to rely on broader institutional guidance and external funder or publisher policies.","Although numerous inappropriate examples are provided, the document gives comparatively few positive examples illustrating acceptable AI-supported research practices. This may leave uncertainty regarding the boundary between responsible and inappropriate AI use in everyday research workflows.","Future versions could complement the existing misuse examples with parallel examples of good practice across grant writing, data analysis, coding, publication and peer review. Additional guidance on documenting AI-supported research workflows would further strengthen responsible implementation.","Several inappropriate examples address similar themes of fabrication, non-disclosure and lack of validation. Grouping these examples into broader governance principles could improve readability while maintaining the document’s practical focus.","Future guidance should expand positive guidance on AI-assisted programming, statistical analysis, literature synthesis and computational research, balancing the current emphasis on prohibited practices with clearer recommendations for responsible research use."
RG045,London School of Economics and Political Science,University,Yes,England,Generic,School Position on Generative AI,Guidance Hub,All,https://info.lse.ac.uk/staff/divisions/Eden-Centre/Artificial-Intelligence-Education-and-Assessment/School-position-on-generative-AI?utm_source=chatgpt.com,HTML,2026-07-27,Available,Official,,,Tool; Opportunity; Challenge,Academic Integrity,Responsible Use of AI; AI Literacy,Learning support; Teaching support; Assessment support,/,Generative AI,FALSE,Balanced,"This page serves as the institutional gateway to LSE's AI governance framework for education and assessment. Rather than functioning as a standalone policy, it introduces the School's overarching approach to generative AI and signposts the key components of its governance model, including the three-position framework for authorised AI use, the observed assessment policy and AI-assisted marking guidance. Its primary role is to communicate institutional direction and connect users with the relevant operational guidance.","The page intentionally provides only a high-level overview. It does not explain permitted or prohibited AI uses, acknowledgement requirements, assessment examples or detailed implementation guidance, all of which are addressed in the linked policy documents.","While the page introduces the three-position framework, it does not explain the practical differences between the three positions or how departments determine which position to adopt. Users must consult the accompanying guidance documents for operational detail.",Include a brief summary comparing the three assessment positions and provide a concise overview of the principles underpinning observed assessment before directing readers to the detailed guidance documents.,The page functions primarily as a navigation hub. Some navigation content could be streamlined in favour of a clearer summary of LSE's institutional approach to AI in education and assessment.,Future versions could include a concise overview of the University's core AI principles and a visual summary of the three-position framework to help readers understand the governance model before consulting the detailed guidance.
RG046,London School of Economics and Political Science,University,Yes,England,Teaching,LSE Position on Generative AI in Assessment 2025/26,Guidance,Staff,https://info.lse.ac.uk/staff/divisions/Eden-Centre/Assets-EC/Documents/AI-guidelines-update-June-2025/LSE-Position-on-Generative-AI-in-Education-2025-26-FINAL.pdf,PDF,2026-07-27,Available,Official,,,Tool; Opportunity; Challenge,Academic Integrity; Academic Misconduct; Overreliance; Inequity,Responsible Use of AI; AI Literacy; Transparency; Equity; Skills Development,Learning support; Teaching support; Assessment support,Unauthorised use of GenAI in assessment; Inappropriate use of GenAI in assessment,Generative AI; Microsoft Copilot; Anthropic Claude for Education; Cadmus,FALSE,Balanced,"LSE adopts a transitional, principles-based approach to generative AI in assessment for 2025/26, seeking to balance academic integrity with the development of GenAI literacy and future-facing skills. Its most distinctive feature is the strengthening of the existing three-position framework through “observed assessment”, including examinations, oral assessments, in-class activities, edit-tracking technologies and hybrid assessment models. Rather than attempting to detect AI-generated text alone, the policy shifts attention towards verifying learning processes and authenticating student achievement.","The document focuses heavily on assessment assurance and provides limited guidance on other common AI-related concerns, including data protection, copyright, intellectual property, bias and the reliability of AI-generated content. It also provides little guidance on specific learning uses of GenAI outside assessment contexts.","The document leaves considerable discretion to departments in determining the appropriate combination and proportion of observed assessment. Although several models are suggested, the exact implementation may vary substantially across programmes and disciplines. The document also explicitly describes the 2025/26 approach as an interim position, meaning that some requirements may change as LSE develops its longer-term strategy.","Provide clearer discipline-specific examples showing how the three-position framework and observed assessment can be implemented across different subject areas. Additional guidance on acceptable GenAI use outside summative assessment, particularly for learning and formative activities, would also help students and staff distinguish responsible use from misconduct.","The document contains extensive operational detail on assessment changes, administrative deadlines and Akari procedures. These implementation details could be separated into an administrative appendix or staff-facing implementation document, allowing the main policy to communicate the institutional position more concisely.","Future guidance could explicitly address AI-assisted coding and computational assessment, including when code generation, debugging or AI-supported data analysis is authorised and how such use should be documented. This would extend the three-position framework to computational disciplines where the boundary between assistance and substantive authorship may require additional clarification."
RG047,London School of Economics and Political Science,University,Yes,England,Teaching,LSE Principles and Guidance for AI-assisted Marking & Feedback,Guidance,Staff,https://info.lse.ac.uk/staff/divisions/Eden-Centre/Assets-EC/Documents/AI-assisted-marking-Nov-2025/AI-assisted-marking-and-feedback-revised-post-EC-Nov-2025-Exec-Summary.pdf,PDF,2026-07-27,Available,Official,,,Tool; Opportunity; Challenge,Privacy; Data Protection; Bias; Overreliance; Fairness,Responsible Use of AI; Transparency; Critical Thinking,Feedback support; Feedback summarisation; Rubric development; Assessment design; Moderation support; Transcription; Pattern identification,AI-generated marking without human oversight; AI determining marks or final assessment decisions; Replacing primary markers or moderators; AI detection of student GenAI use; Uploading student work without explicit consent,Generative AI; Large Language Models (LLMs); Claude AI; Microsoft Copilot; Grammarly,FALSE,Balanced,"This guidance establishes a human-centred framework for AI-assisted marking, feedback and moderation. Its defining principle is that generative AI may support academic work but cannot replace human reading, judgement or final decision-making. Rather than promoting automation, the document focuses on augmentation: improving the clarity, consistency, accessibility and scalability of feedback while maintaining transparency, student trust and academic responsibility.","The guidance focuses narrowly on marking and feedback and therefore provides little discussion of student AI use, assessment design beyond rubrics, discipline-specific implementation or programming-related assessment. It also does not provide detailed guidance on how long AI-assisted feedback records should be retained or how departments should document the use of AI across marking workflows.","Although the document requires transparency and explicit consent when student work is uploaded, the exact form of student consent and the degree of disclosure expected across different marking scenarios are not fully standardised. Departmental variation may therefore emerge in how these principles are implemented.","Include a standard disclosure template for staff, clearer consent procedures for the use of student work, and discipline-specific examples showing how AI-assisted marking could be applied in quantitative, computational, laboratory and project-based assessment contexts.","The research-context section summarising staff and student perceptions of AI feedback is useful background, but some of this evidence could be shortened or moved to an appendix so that the operational principles and implementation guidance remain more prominent.","Future versions should address AI-assisted marking of programming and computational assignments, including how AI may support code-related feedback, rubric calibration and moderation without making independent judgements about code quality or authorship."
RG048,University of Manchester,University,Yes,England,Generic,AI guidelines,Guidance,All,https://documents.manchester.ac.uk/DocuInfo.aspx?DocID=75355,Word,2026-07-27,Access restricted,Official,,,/,/,/,/,/,/,/,/,/,/,/,/,/,/
